Date,Sales
2022-01-01,105.31
2022-01-02,99.49
2022-01-03,107.87
2022-01-04,117.15
2022-01-05,100.11
2022-01-06,100.63
2022-01-07,119.29
2022-01-08,111.7
2022-01-09,99.85
2022-01-10,110.5
2022-01-11,100.96
2022-01-12,101.45
2022-01-13,109.05
2022-01-14,88.02
2022-01-15,90.41
2022-01-16,102.56
2022-01-17,98.56
2022-01-18,112.35
2022-01-19,100.63
2022-01-20,96.1
2022-01-21,125.38
2022-01-22,108.97
2022-01-23,112.41
2022-01-24,97.98
2022-01-25,107.28
2022-01-26,114.33
2022-01-27,102.2
2022-01-28,117.96
2022-01-29,108.68
2022-01-30,112.26
2022-01-31,109.64
2022-02-01,134.65
2022-02-02,116.47
2022-02-03,106.5
2022-02-04,125.77
2022-02-05,105.8
2022-02-06,120.56
2022-02-07,99.33
2022-02-08,106.1
2022-02-09,121.8
2022-02-10,127.66
2022-02-11,122.43
2022-02-12,120.0
2022-02-13,118.58
2022-02-14,107.24
2022-02-15,115.25
2022-02-16,118.27
2022-02-17,133.86
2022-02-18,127.14
2022-02-19,106.49
2022-02-20,127.76
2022-02-21,121.07
2022-02-22,118.55
2022-02-23,131.82
2022-02-24,136.4
2022-02-25,135.79
2022-02-26,118.46
2022-02-27,124.13
2022-02-28,130.9
2022-03-01,137.71
2022-03-02,123.52
2022-03-03,126.8
2022-03-04,117.94
2022-03-05,117.38
2022-03-06,137.81
2022-03-07,143.57
2022-03-08,129.62
2022-03-09,140.69
2022-03-10,134.59
2022-03-11,124.83
2022-03-12,135.2
2022-03-13,147.26
2022-03-14,131.81
2022-03-15,148.1
2022-03-16,106.54
2022-03-17,141.23
2022-03-18,134.15
2022-03-19,130.56
2022-03-20,134.72
2022-03-21,114.18
2022-03-22,132.1
2022-03-23,138.11
2022-03-24,149.55
2022-03-25,129.82
2022-03-26,127.14
2022-03-27,130.43
2022-03-28,144.81
2022-03-29,139.15
2022-03-30,130.76
2022-03-31,141.38
2022-04-01,137.41
2022-04-02,146.31
2022-04-03,129.77
2022-04-04,133.69
2022-04-05,133.21
2022-04-06,122.65
2022-04-07,140.4
2022-04-08,140.19
2022-04-09,137.77
2022-04-10,135.51
2022-04-11,123.83
2022-04-12,133.9
2022-04-13,134.8
2022-04-14,130.31
2022-04-15,136.82
2022-04-16,142.58
2022-04-17,157.49
2022-04-18,140.46
2022-04-19,141.38
2022-04-20,138.13
2022-04-21,119.76
2022-04-22,138.75
2022-04-23,139.67
2022-04-24,163.76
2022-04-25,137.25
2022-04-26,142.23
2022-04-27,138.91
2022-04-28,127.6
2022-04-29,150.74
2022-04-30,146.85
2022-05-01,147.26
2022-05-02,130.27
2022-05-03,153.4
2022-05-04,125.35
2022-05-05,145.24
2022-05-06,161.26
2022-05-07,129.44
2022-05-08,133.66
2022-05-09,140.3
2022-05-10,134.24
2022-05-11,123.74
2022-05-12,139.89
2022-05-13,128.54
2022-05-14,143.85
2022-05-15,129.87
2022-05-16,154.51
2022-05-17,131.12
2022-05-18,135.67
2022-05-19,146.96
2022-05-20,126.44
2022-05-21,140.95
2022-05-22,151.67
2022-05-23,122.44
2022-05-24,140.27
2022-05-25,140.93
2022-05-26,146.06
2022-05-27,125.77
2022-05-28,124.84
2022-05-29,143.16
2022-05-30,140.8
2022-05-31,140.22
2022-06-01,141.07
2022-06-02,130.69
2022-06-03,139.69
2022-06-04,140.18
2022-06-05,129.98
2022-06-06,155.65
2022-06-07,141.6
2022-06-08,124.82
2022-06-09,143.16
2022-06-10,126.71
2022-06-11,144.19
2022-06-12,147.76
2022-06-13,127.83
2022-06-14,145.52
2022-06-15,139.87
2022-06-16,143.81
2022-06-17,154.41
2022-06-18,132.84
2022-06-19,127.6
2022-06-20,126.09
2022-06-21,126.67
2022-06-22,133.9
2022-06-23,137.93
2022-06-24,137.12
2022-06-25,142.47
2022-06-26,134.17
2022-06-27,148.41
2022-06-28,131.07
2022-06-29,160.76
2022-06-30,139.65
2022-07-01,124.66
2022-07-02,122.36
2022-07-03,137.73
2022-07-04,130.51
2022-07-05,139.73
2022-07-06,137.16
2022-07-07,131.54
2022-07-08,123.64
2022-07-09,116.8
2022-07-10,127.32
2022-07-11,140.19
2022-07-12,133.61
2022-07-13,118.86
2022-07-14,132.9
2022-07-15,134.86
2022-07-16,122.02
2022-07-17,132.25
2022-07-18,131.14
2022-07-19,118.98
2022-07-20,133.85
2022-07-21,135.73
2022-07-22,140.81
2022-07-23,140.38
2022-07-24,115.93
2022-07-25,120.19
2022-07-26,134.59
2022-07-27,134.45
2022-07-28,134.33
2022-07-29,167.58
2022-07-30,134.64
2022-07-31,140.17
2022-08-01,138.24
2022-08-02,135.1
2022-08-03,125.32
2022-08-04,135.95
2022-08-05,120.53
2022-08-06,125.79
2022-08-07,123.21
2022-08-08,128.79
2022-08-09,151.02
2022-08-10,109.12
2022-08-11,134.57
2022-08-12,111.5
2022-08-13,122.83
2022-08-14,138.37
2022-08-15,128.06
2022-08-16,116.57
2022-08-17,120.14
2022-08-18,134.03
2022-08-19,119.88
2022-08-20,129.3
2022-08-21,127.55
2022-08-22,120.54
2022-08-23,148.47
2022-08-24,133.34
2022-08-25,106.72
2022-08-26,128.82
2022-08-27,120.33
2022-08-28,135.46
2022-08-29,119.01
2022-08-30,125.78
2022-08-31,131.99
2022-09-01,135.61
2022-09-02,114.96
2022-09-03,123.64
2022-09-04,122.27
2022-09-05,120.51
2022-09-06,144.74
2022-09-07,131.18
2022-09-08,114.57
2022-09-09,136.41
2022-09-10,148.51
2022-09-11,137.68
2022-09-12,112.23
2022-09-13,122.66
2022-09-14,140.25
2022-09-15,120.59
2022-09-16,132.2
2022-09-17,135.61
2022-09-18,118.7
2022-09-19,127.48
2022-09-20,95.78
2022-09-21,118.07
2022-09-22,125.92
2022-09-23,116.1
2022-09-24,145.04
2022-09-25,114.56
2022-09-26,124.62
2022-09-27,130.48
2022-09-28,143.75
2022-09-29,115.15
2022-09-30,141.31
2022-10-01,129.97
2022-10-02,120.24
2022-10-03,134.86
2022-10-04,132.43
2022-10-05,124.64
2022-10-06,131.56
2022-10-07,127.22
2022-10-08,132.43
2022-10-09,138.15
2022-10-10,147.62
2022-10-11,119.62
2022-10-12,153.58
2022-10-13,112.98
2022-10-14,131.24
2022-10-15,138.9
2022-10-16,136.1
2022-10-17,127.34
2022-10-18,131.76
2022-10-19,129.2
2022-10-20,128.53
2022-10-21,143.21
2022-10-22,138.59
2022-10-23,128.4
2022-10-24,144.64
2022-10-25,139.04
2022-10-26,144.42
2022-10-27,142.92
2022-10-28,128.66
2022-10-29,131.69
2022-10-30,145.11
2022-10-31,144.1
2022-11-01,138.14
2022-11-02,139.88
2022-11-03,151.85
2022-11-04,133.53
2022-11-05,145.3
2022-11-06,138.19
2022-11-07,138.42
2022-11-08,151.97
2022-11-09,149.63
2022-11-10,149.92
2022-11-11,155.24
2022-11-12,142.8
2022-11-13,149.83
2022-11-14,140.32
2022-11-15,147.09
2022-11-16,142.97
2022-11-17,145.68
2022-11-18,151.09
2022-11-19,137.4
2022-11-20,166.95
2022-11-21,136.41
2022-11-22,134.78
2022-11-23,158.95
2022-11-24,155.75
2022-11-25,154.53
2022-11-26,155.04
2022-11-27,149.1
2022-11-28,140.72
2022-11-29,150.93
2022-11-30,143.88
2022-12-01,160.88
2022-12-02,150.14
2022-12-03,143.84
2022-12-04,149.37
2022-12-05,157.21
2022-12-06,147.94
2022-12-07,145.85
2022-12-08,157.01
2022-12-09,157.52
2022-12-10,150.51
2022-12-11,151.37
2022-12-12,158.91
2022-12-13,142.62
2022-12-14,143.53
2022-12-15,150.94
2022-12-16,156.5
2022-12-17,162.26
2022-12-18,174.42
2022-12-19,168.77
2022-12-20,159.11
2022-12-21,161.04
2022-12-22,151.73
2022-12-23,162.09
2022-12-24,159.91
2022-12-25,166.55
2022-12-26,155.58
2022-12-27,169.57
2022-12-28,180.23
2022-12-29,164.34
2022-12-30,169.97
2022-12-31,173.39
2023-01-01,163.0
2023-01-02,169.78
2023-01-03,168.19
2023-01-04,169.57
2023-01-05,161.39
2023-01-06,169.89
2023-01-07,175.15
2023-01-08,185.2
2023-01-09,180.81
2023-01-10,193.27
2023-01-11,164.58
2023-01-12,181.5
2023-01-13,175.13
2023-01-14,195.71
2023-01-15,166.25
2023-01-16,166.45
2023-01-17,169.36
2023-01-18,154.63
2023-01-19,171.12
2023-01-20,169.3
2023-01-21,178.9
2023-01-22,181.31
2023-01-23,197.16
2023-01-24,188.4
2023-01-25,173.63
2023-01-26,170.9
2023-01-27,185.3
2023-01-28,167.67
2023-01-29,199.67
2023-01-30,193.63
2023-01-31,177.63
2023-02-01,165.67
2023-02-02,196.81
2023-02-03,182.6
2023-02-04,196.59
2023-02-05,168.73
2023-02-06,179.14
2023-02-07,185.65
2023-02-08,186.52
2023-02-09,182.0
2023-02-10,193.17
2023-02-11,176.71
2023-02-12,186.4
2023-02-13,189.46
2023-02-14,193.84
2023-02-15,196.24
2023-02-16,178.29
2023-02-17,174.62
2023-02-18,203.15
2023-02-19,194.11
2023-02-20,183.7
2023-02-21,207.1
2023-02-22,193.14
2023-02-23,204.17
2023-02-24,193.44
2023-02-25,213.75
2023-02-26,211.07
2023-02-27,191.4
2023-02-28,203.97
2023-03-01,201.07
2023-03-02,208.66
2023-03-03,185.68
2023-03-04,202.53
2023-03-05,206.6
2023-03-06,178.76
2023-03-07,184.85
2023-03-08,176.61
2023-03-09,194.63
2023-03-10,204.81
2023-03-11,212.97
2023-03-12,198.99
2023-03-13,214.83
2023-03-14,185.04
2023-03-15,182.09
2023-03-16,198.85
2023-03-17,203.52
2023-03-18,199.62
2023-03-19,179.54
2023-03-20,199.58
2023-03-21,187.68
2023-03-22,207.66
2023-03-23,204.87
2023-03-24,192.04
2023-03-25,196.53
2023-03-26,191.3
2023-03-27,201.48
2023-03-28,211.87
2023-03-29,192.67
2023-03-30,207.77
2023-03-31,197.62
2023-04-01,195.18
2023-04-02,202.22
2023-04-03,193.11
2023-04-04,198.09
2023-04-05,191.82
2023-04-06,223.6
2023-04-07,204.46
2023-04-08,197.25
2023-04-09,206.53
2023-04-10,203.4
2023-04-11,202.44
2023-04-12,210.91
2023-04-13,212.46
2023-04-14,199.69
2023-04-15,199.35
2023-04-16,202.45
2023-04-17,182.28
2023-04-18,190.23
2023-04-19,219.14
2023-04-20,221.99
2023-04-21,203.12
2023-04-22,211.44
2023-04-23,208.85
2023-04-24,236.58
2023-04-25,217.04
2023-04-26,204.6
2023-04-27,196.37
2023-04-28,189.89
2023-04-29,208.01
2023-04-30,198.44
2023-05-01,191.8
2023-05-02,199.56
2023-05-03,195.22
2023-05-04,222.91
2023-05-05,214.85
2023-05-06,205.95
2023-05-07,220.81
2023-05-08,206.77
2023-05-09,197.36
2023-05-10,221.17
2023-05-11,211.3
2023-05-12,195.5
2023-05-13,203.93
2023-05-14,197.03
2023-05-15,191.9
2023-05-16,214.94
2023-05-17,224.71
2023-05-18,191.57
2023-05-19,211.12
2023-05-20,198.91
2023-05-21,200.47
2023-05-22,199.34
2023-05-23,196.54
2023-05-24,205.58
2023-05-25,196.69
2023-05-26,207.61
2023-05-27,204.31
2023-05-28,202.32
2023-05-29,195.53
2023-05-30,198.73
2023-05-31,211.94
2023-06-01,209.28
2023-06-02,194.38
2023-06-03,205.03
2023-06-04,211.43
2023-06-05,187.09
2023-06-06,209.09
2023-06-07,196.9
2023-06-08,209.1
2023-06-09,195.63
2023-06-10,185.08
2023-06-11,186.71
2023-06-12,203.32
2023-06-13,205.3
2023-06-14,193.51
2023-06-15,208.79
2023-06-16,185.64
2023-06-17,201.45
2023-06-18,189.85
2023-06-19,195.29
2023-06-20,202.12
2023-06-21,192.89
2023-06-22,197.49
2023-06-23,211.24
2023-06-24,195.25
2023-06-25,209.22
2023-06-26,189.41
2023-06-27,205.84
2023-06-28,214.8
2023-06-29,175.5
2023-06-30,192.09
2023-07-01,205.67
2023-07-02,197.71
2023-07-03,203.29
2023-07-04,193.37
2023-07-05,200.12
2023-07-06,197.53
2023-07-07,210.61
2023-07-08,201.32
2023-07-09,201.99
2023-07-10,194.34
2023-07-11,193.42
2023-07-12,193.81
2023-07-13,201.93
2023-07-14,193.62
2023-07-15,200.57
2023-07-16,218.28
2023-07-17,206.09
2023-07-18,193.97
2023-07-19,209.09
2023-07-20,192.85
2023-07-21,176.41
2023-07-22,186.57
2023-07-23,177.8
2023-07-24,192.86
2023-07-25,196.42
2023-07-26,212.87
2023-07-27,199.24
2023-07-28,193.66
2023-07-29,204.02
2023-07-30,173.49
2023-07-31,197.84
2023-08-01,203.07
2023-08-02,180.46
2023-08-03,206.58
2023-08-04,198.42
2023-08-05,190.77
2023-08-06,201.15
2023-08-07,217.44
2023-08-08,196.45
2023-08-09,197.03
2023-08-10,189.86
2023-08-11,185.88
2023-08-12,202.6
2023-08-13,185.66
2023-08-14,194.86
2023-08-15,189.3
2023-08-16,198.81
2023-08-17,197.29
2023-08-18,204.28
2023-08-19,188.75
2023-08-20,191.11
2023-08-21,183.98
2023-08-22,189.28
2023-08-23,197.47
2023-08-24,201.24
2023-08-25,184.42
2023-08-26,202.32
2023-08-27,207.17
2023-08-28,197.74
2023-08-29,212.37
2023-08-30,185.86
2023-08-31,181.16
2023-09-01,175.83
2023-09-02,208.59
2023-09-03,200.2
2023-09-04,193.13
2023-09-05,196.51
2023-09-06,182.5
2023-09-07,218.25
2023-09-08,195.14
2023-09-09,194.99
2023-09-10,201.21
2023-09-11,198.83
2023-09-12,196.33
2023-09-13,186.26
2023-09-14,198.96
2023-09-15,213.16
2023-09-16,207.89
2023-09-17,210.46
2023-09-18,189.52
2023-09-19,184.85
2023-09-20,193.6
2023-09-21,195.54
2023-09-22,206.05
2023-09-23,178.32
2023-09-24,210.68
2023-09-25,193.95
2023-09-26,191.41
2023-09-27,185.72
2023-09-28,179.46
2023-09-29,204.41
2023-09-30,197.08
2023-10-01,183.63
2023-10-02,183.77
2023-10-03,193.55
2023-10-04,213.8
2023-10-05,194.72
2023-10-06,182.49
2023-10-07,195.28
2023-10-08,195.24
2023-10-09,171.22
2023-10-10,197.88
2023-10-11,196.36
2023-10-12,205.87
2023-10-13,217.65
2023-10-14,210.69
2023-10-15,197.0
2023-10-16,188.89
2023-10-17,225.96
2023-10-18,201.1
2023-10-19,200.94
2023-10-20,200.85
2023-10-21,203.37
2023-10-22,200.24
2023-10-23,196.26
2023-10-24,196.84
2023-10-25,202.3
2023-10-26,197.52
2023-10-27,196.16
2023-10-28,204.69
2023-10-29,201.41
2023-10-30,219.35
2023-10-31,178.15
2023-11-01,215.93
2023-11-02,217.84
2023-11-03,185.01
2023-11-04,202.69
2023-11-05,202.78
2023-11-06,192.8
2023-11-07,199.48
2023-11-08,196.55
2023-11-09,225.57
2023-11-10,217.8
2023-11-11,221.57
2023-11-12,216.48
2023-11-13,198.38
2023-11-14,204.85
2023-11-15,215.41
2023-11-16,198.72
2023-11-17,218.5
2023-11-18,209.4
2023-11-19,208.5
2023-11-20,219.8
2023-11-21,217.58
2023-11-22,209.98
2023-11-23,225.63
2023-11-24,203.69
2023-11-25,221.12
2023-11-26,221.35
2023-11-27,212.8
2023-11-28,219.62
2023-11-29,204.33
2023-11-30,226.56
2023-12-01,215.95
2023-12-02,213.05
2023-12-03,229.26
2023-12-04,212.21
2023-12-05,205.66
2023-12-06,204.67
2023-12-07,226.8
2023-12-08,208.43
2023-12-09,239.29
2023-12-10,201.42
2023-12-11,239.71
2023-12-12,225.37
2023-12-13,222.8
2023-12-14,218.83
2023-12-15,228.78
2023-12-16,224.93
2023-12-17,236.85
2023-12-18,227.48
2023-12-19,228.36
2023-12-20,223.74
2023-12-21,227.33
2023-12-22,231.5
2023-12-23,211.84
2023-12-24,215.99
2023-12-25,237.43
2023-12-26,232.23
2023-12-27,229.2
2023-12-28,231.75
2023-12-29,235.57
2023-12-30,227.23
2023-12-31,225.37
2024-01-01,235.64
2024-01-02,224.42
2024-01-03,238.81
2024-01-04,218.23
2024-01-05,246.07
2024-01-06,241.03
2024-01-07,239.39
2024-01-08,247.18
2024-01-09,254.54
2024-01-10,248.55
2024-01-11,220.52
2024-01-12,226.65
2024-01-13,233.72
2024-01-14,240.74
2024-01-15,246.17
2024-01-16,234.25
2024-01-17,243.89
2024-01-18,234.98
2024-01-19,236.93
2024-01-20,229.49
2024-01-21,234.83
2024-01-22,231.05
2024-01-23,235.31
2024-01-24,256.1
2024-01-25,236.57
2024-01-26,272.88
2024-01-27,251.98
2024-01-28,249.38
2024-01-29,239.44
2024-01-30,255.51
2024-01-31,243.23
2024-02-01,250.68
2024-02-02,275.54
2024-02-03,249.45
2024-02-04,262.37
2024-02-05,244.31
2024-02-06,251.45
2024-02-07,269.97
2024-02-08,246.45
2024-02-09,271.29
2024-02-10,260.69
2024-02-11,248.43
2024-02-12,260.82
2024-02-13,264.65
2024-02-14,261.58
2024-02-15,240.08
2024-02-16,248.94
2024-02-17,254.15
2024-02-18,256.3
2024-02-19,263.66
2024-02-20,259.63
2024-02-21,244.9
2024-02-22,262.45
2024-02-23,265.15
2024-02-24,265.03
2024-02-25,270.62
2024-02-26,268.52
2024-02-27,265.15
2024-02-28,260.22
2024-02-29,244.68
2024-03-01,265.94
2024-03-02,264.07
2024-03-03,265.05
2024-03-04,249.91
2024-03-05,252.2
2024-03-06,273.88
2024-03-07,263.28
2024-03-08,270.81
2024-03-09,264.59
2024-03-10,264.91
2024-03-11,274.3
2024-03-12,260.05
2024-03-13,266.47
2024-03-14,261.17
2024-03-15,261.73
2024-03-16,263.26
2024-03-17,268.84
2024-03-18,262.09
2024-03-19,279.69
2024-03-20,258.44
2024-03-21,265.77
2024-03-22,263.48
2024-03-23,282.58
2024-03-24,270.3
2024-03-25,278.88
2024-03-26,253.92
2024-03-27,271.66
2024-03-28,278.09
2024-03-29,270.21
2024-03-30,280.24
2024-03-31,264.6
2024-04-01,284.05
2024-04-02,293.12
2024-04-03,266.67
2024-04-04,266.01
2024-04-05,285.15
2024-04-06,286.57
2024-04-07,265.69
2024-04-08,266.85
2024-04-09,268.37
2024-04-10,257.87
2024-04-11,262.25
2024-04-12,261.51
2024-04-13,263.99
2024-04-14,271.42
2024-04-15,274.21
2024-04-16,287.47
2024-04-17,262.07
2024-04-18,281.98
2024-04-19,270.07
2024-04-20,271.79
2024-04-21,279.09
2024-04-22,261.18
2024-04-23,276.28
2024-04-24,274.17
2024-04-25,277.47
2024-04-26,275.48
2024-04-27,297.17
2024-04-28,266.27
2024-04-29,267.36
2024-04-30,266.45
2024-05-01,267.14
2024-05-02,266.33
2024-05-03,284.59
2024-05-04,286.91
2024-05-05,266.98
2024-05-06,264.35
2024-05-07,277.37
2024-05-08,267.11
2024-05-09,278.94
2024-05-10,274.6
2024-05-11,257.38
2024-05-12,287.97
2024-05-13,290.41
2024-05-14,266.27
2024-05-15,268.47
2024-05-16,275.14
2024-05-17,275.57
2024-05-18,278.74
2024-05-19,292.18
2024-05-20,270.24
2024-05-21,263.94
2024-05-22,258.05
2024-05-23,264.45
2024-05-24,271.34
2024-05-25,289.52
2024-05-26,266.3
2024-05-27,273.61
2024-05-28,271.11
2024-05-29,283.05
2024-05-30,296.32
2024-05-31,265.63
2024-06-01,265.93
2024-06-02,281.14
2024-06-03,277.4
2024-06-04,288.92
2024-06-05,276.17
2024-06-06,266.6
2024-06-07,275.97
2024-06-08,281.02
2024-06-09,278.0
2024-06-10,274.72
2024-06-11,280.18
2024-06-12,281.06
2024-06-13,283.04
2024-06-14,275.56
2024-06-15,267.26
2024-06-16,270.24
2024-06-17,280.69
2024-06-18,260.3
2024-06-19,272.0
2024-06-20,264.23
2024-06-21,268.29
2024-06-22,280.63
2024-06-23,269.6
2024-06-24,267.99
2024-06-25,253.77
2024-06-26,274.67
2024-06-27,273.5
2024-06-28,288.52
2024-06-29,263.65
2024-06-30,268.76
2024-07-01,268.9
2024-07-02,282.02
2024-07-03,265.13
2024-07-04,268.71
2024-07-05,271.84
2024-07-06,267.46
2024-07-07,260.97
2024-07-08,267.22
2024-07-09,275.86
2024-07-10,254.7
2024-07-11,266.14
2024-07-12,257.65
2024-07-13,276.45
2024-07-14,249.11
2024-07-15,258.6
2024-07-16,267.81
2024-07-17,279.55
2024-07-18,263.09
2024-07-19,258.05
2024-07-20,282.27
2024-07-21,248.84
2024-07-22,241.19
2024-07-23,267.44
2024-07-24,257.88
2024-07-25,252.56
2024-07-26,269.73
2024-07-27,264.95
2024-07-28,256.75
2024-07-29,249.46
2024-07-30,270.87
2024-07-31,268.53
2024-08-01,260.92
2024-08-02,280.27
2024-08-03,251.0
2024-08-04,246.34
2024-08-05,254.57
2024-08-06,260.94
2024-08-07,263.73
2024-08-08,258.8
2024-08-09,264.64
2024-08-10,248.52
2024-08-11,275.4
2024-08-12,260.06
2024-08-13,271.99
2024-08-14,264.17
2024-08-15,265.25
2024-08-16,266.32
2024-08-17,265.05
2024-08-18,266.95
2024-08-19,273.76
2024-08-20,262.4
2024-08-21,267.48
2024-08-22,259.46
2024-08-23,274.73
2024-08-24,253.54
2024-08-25,278.3
2024-08-26,259.87
2024-08-27,245.96
2024-08-28,261.55
2024-08-29,253.45
2024-08-30,268.68
2024-08-31,253.76
2024-09-01,255.84
2024-09-02,241.43
2024-09-03,255.82
2024-09-04,236.14
2024-09-05,244.58
2024-09-06,268.07
2024-09-07,268.37
2024-09-08,264.82
2024-09-09,250.95
2024-09-10,260.21
2024-09-11,260.72
2024-09-12,249.25
2024-09-13,275.95
2024-09-14,269.78
2024-09-15,258.89
2024-09-16,261.47
2024-09-17,263.39
2024-09-18,240.99
2024-09-19,259.06
2024-09-20,254.83
2024-09-21,251.76
2024-09-22,259.1
2024-09-23,280.03
2024-09-24,268.61
2024-09-25,256.64
2024-09-26,268.23
2024-09-27,276.66
2024-09-28,272.09
2024-09-29,263.61
2024-09-30,256.73
2024-10-01,270.37
2024-10-02,267.51
2024-10-03,272.73
2024-10-04,270.33
2024-10-05,274.69
2024-10-06,259.06
2024-10-07,277.8
2024-10-08,266.83
2024-10-09,285.85
2024-10-10,258.44
2024-10-11,282.94
2024-10-12,267.81
2024-10-13,259.57
2024-10-14,261.51
2024-10-15,263.42
2024-10-16,271.14
2024-10-17,272.41
2024-10-18,261.73
2024-10-19,267.51
2024-10-20,289.47
2024-10-21,285.63
2024-10-22,273.03
2024-10-23,269.36
2024-10-24,270.5
2024-10-25,275.76
2024-10-26,259.72
2024-10-27,267.71
2024-10-28,253.94
2024-10-29,274.97
2024-10-30,277.8
2024-10-31,266.85
2024-11-01,287.78
2024-11-02,260.15
2024-11-03,258.14
2024-11-04,275.4
2024-11-05,284.01
2024-11-06,290.77
2024-11-07,269.73
2024-11-08,285.5
2024-11-09,274.73
2024-11-10,273.79
2024-11-11,284.76
2024-11-12,282.87
2024-11-13,261.0
2024-11-14,291.95
2024-11-15,291.41
2024-11-16,271.78
2024-11-17,282.43
2024-11-18,283.85
2024-11-19,281.96
2024-11-20,274.3
2024-11-21,273.54
2024-11-22,280.45
2024-11-23,292.89
2024-11-24,287.06
2024-11-25,278.38
2024-11-26,290.28
2024-11-27,254.54
2024-11-28,294.99
2024-11-29,266.58
2024-11-30,280.84
2024-12-01,273.75
2024-12-02,272.49
2024-12-03,297.53
2024-12-04,281.74
2024-12-05,290.37
2024-12-06,286.93
2024-12-07,292.67
2024-12-08,289.17
2024-12-09,276.08
2024-12-10,299.38
2024-12-11,284.98
2024-12-12,274.87
2024-12-13,286.66
2024-12-14,306.46
2024-12-15,300.47
2024-12-16,289.0
2024-12-17,289.51
2024-12-18,290.31
2024-12-19,314.81
2024-12-20,298.38
2024-12-21,299.39
2024-12-22,305.91
2024-12-23,298.52
2024-12-24,294.07
2024-12-25,295.22
